Offset(P)            #Ptr   #Hnd Access Name
0x000000007e2272f8      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\RAC\StateData\RacDatabase.sdf
0x000000007e227ef0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e228290      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000007e2284b8      8      0 R--rw- \Device\HarddiskVolume1\Users\IEUser\Desktop\pestudio\pestudio\xml\functions.xml
0x000000007e228720      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\WcnApi.dll
0x000000007e228ab8      8      0 RWD--- \Device\HarddiskVolume1\Windows\inf\WmiApRpl\0009\WmiApRpl.ini
0x000000007e228cc0      6      0 R----- \Device\HarddiskVolume1\Windows\Prefetch\DLLHOST.EXE-71214090.pf
0x000000007e229260      8      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\ITCBLKAD.TTF
0x000000007e229490      8      0 R--r-- \Device\HarddiskVolume1\Windows\winsxs\FileMaps\program_files_common_files_microsoft_shared_ink_hr-hr_8fc97762117fc7e7.cdf-ms
0x000000007e229f80      7      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\impact.ttf
0x000000007e22a988      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PeerDistSh.dll
0x000000007e22c1e0      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\notepad.exe
0x000000007e22c808      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\pnpui.dll
0x000000007e22cd88      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\pautoenr.dll
0x000000007e22e160      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\normaliz.dll
0x000000007e22e240      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\config\RegBack\SECURITY
0x000000007e22e7a8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wmp.dll
0x000000007e22e860      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\OobeFldr.dll
0x000000007e22ecc8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\PlaySndSrv.dll
0x000000007e22f468      8      0 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Data Sources (ODBC).lnk
0x000000007e22f520      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PhotoMetadataHandler.dll
0x000000007e22f750      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.chk
0x000000007e22fa08      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\regsvr32.exe
0x000000007e22feb8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\trkwks.dll
0x000000007e2307e0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_2_for_KB2564958~31bf3856ad364e35~x86~~6.1.1.1.cat
0x000000007e23a280      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\stobject.dll
0x000000007e23a338      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e23a648      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WPDShServiceObj.dll
0x000000007e23a850      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SoundRecorder.exe
0x000000007e23aa00      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\TSWorkspace.dll
0x000000007e23b478      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wshbth.dll
0x000000007e23cd58      8      0 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Mobility Center.lnk
0x000000007e23dec8      1      1 ------ \Device\NamedPipe\browser
0x000000007e23df80      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cscsvc.dll
0x000000007e23e220      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PerfCenterCPL.dll
0x000000007e23ed58      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\WFSR.dll
0x000000007e23ef80      7      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Videos\desktop.ini
0x000000007e23f3d0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\pnidui.dll
0x000000007e23f6b8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PeerDist-Client-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0x000000007e23f820      8      0 R--r-- \Device\HarddiskVolume1\Windows\winsxs\FileMaps\program_files_common_files_system_b13078daf1286f60.cdf-ms
0x000000007e23fb60      7      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x96dbg.ini
0x000000007e23fe10     16      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e23fec8      8      0 R--r-- \Device\HarddiskVolume1\Windows\winsxs\FileMaps\program_files_windows_sidebar_gadgets_cpu.gadget_3ea229fc96d38c13.cdf-ms
0x000000007e23ff80      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\snmptrap.exe
0x000000007e2405e8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_291_for_KB4054518~31bf3856ad364e35~x86~~6.1.1.2.cat
0x000000007e240b90      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SNTSearch.dll
0x000000007e241588      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wsecedit.dll
0x000000007e2416f8      5      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\x32dbg.exe
0x000000007e2417b0      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SessEnv.dll
0x000000007e241d88      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_1_for_KB3072305~31bf3856ad364e35~x86~~6.1.1.2.cat
0x000000007e2421e0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-RemoteApplications-Client-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0x000000007e242cb8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\colorcpl.exe
0x000000007e242f00      6      0 R--r-- \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\Microsoft.Build.dll
0x000000007e243038      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_3_for_KB3046017~31bf3856ad364e35~x86~~6.1.1.1.cat
0x000000007e243118      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\riched20.dll
0x000000007e2435d8      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\powercpl.dll
0x000000007e243bf0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Package_3_for_KB2560656~31bf3856ad364e35~x86~~6.1.1.2.cat
0x000000007e244038      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\PeerDistSvc.dll
0x000000007e244258      8      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\msvcp120.dll
0x000000007e244610      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\WinSCard.dll
0x000000007e244e58     16      0 R--rwd \Device\HarddiskVolume1\Windows\System32\lt-LT\msimsg.dll.mui
0x000000007e245038      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\scecli.dll
0x000000007e245528     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e245820      4      0 R--r-d \Device\HarddiskVolume1\Windows\AppPatch\AcLayers.dll
0x000000007e245b98      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_121_for_KB4474419~31bf3856ad364e35~x86~~6.1.1.8.mum
0x000000007e2464f8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\recdisc.exe
0x000000007e2478e0      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\rstrui.exe
0x000000007e247be0      7      0 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Sidebar.lnk
0x000000007e247d48      8      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\MAKECAB.EXE-21F14B27.pf
0x000000007e247e00      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dhcpcore.dll
0x000000007e2481d8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ncsi.dll
0x000000007e248528      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wpdbusenum.dll
